	pos	variable	label	col_type	class	type	unique_values	n_na	range
0	1	ID		chr	character	character	609	0	"c(""[ID Redacted]"", ""[ID Redacted]"")"
1	2	GROUP	Analysis Group	chr	character	character	2	0	"c(""Atopic"", ""Non-atopic"")"
2	3	StudyID	StudyID	chr	character	character	609	0	"c(""[ID Redacted]"", ""[ID Redacted]"")"
3	4	RecruitID	RecruitID	chr	character	character	609	0	"c(""07-01-0003-4"", ""07-08-0371-8"")"
4	5	avisit	Visit	dbl	numeric	double	1	0	c(12, 12)
5	6	ifn_a_LPS	IFN-a, Stimulant: LPS	dbl	numeric	double	162	110	c(3.1, 3370)
6	7	ifn_g_LPS	IFN-g, Stimulant: LPS	dbl	numeric	double	391	112	c(3.1, 23900)
7	8	il_8_LPS	IL-8, Stimulant: LPS	dbl	numeric	double	448	159	c(15599, 10151876.83)
8	9	il_10_LPS	IL-10, Stimulant: LPS	dbl	numeric	double	384	109	c(13.3, 17425.04)
9	10	il_12p40_LPS	IL-12(p40), Stimulant: LPS	dbl	numeric	double	337	110	c(3.1, 678)
10	11	tnf_a_LPS	TNF-a, Stimulant: LPS	dbl	numeric	double	382	110	c(39.41, 17300)
11	12	ifn_a_PG	IFN-a, Stimulant: PG	dbl	numeric	double	24	108	c(3.1, 96.24)
12	13	ifn_g_PG	IFN-g, Stimulant: PG	dbl	numeric	double	402	108	c(3.1, 27300)
13	14	il_8_PG	IL-8, Stimulant: PG	dbl	numeric	double	450	155	c(15599, 16656193.17)
14	15	il_10_PG	IL-10, Stimulant: PG	dbl	numeric	double	349	109	c(9.93, 9956.89)
15	16	il_12p40_PG	IL-12(p40), Stimulant: PG	dbl	numeric	double	368	109	c(3.1, 1150)
16	17	tnf_a_PG	TNF-a, Stimulant: PG	dbl	numeric	double	384	108	c(32.75, 14400)
17	18	ifn_a_PIC	IFN-a, Stimulant: PIC	dbl	numeric	double	372	107	c(3.1, 3400)
18	19	ifn_g_PIC	IFN-g, Stimulant: PIC	dbl	numeric	double	432	107	c(3.1, 21900)
19	20	il_8_PIC	IL-8, Stimulant: PIC	dbl	numeric	double	252	154	c(15599, 850969.7123)
20	21	il_10_PIC	IL-10, Stimulant: PIC	dbl	numeric	double	396	107	c(3.1, 3040)
21	22	il_12p40_PIC	IL-12(p40), Stimulant: PIC	dbl	numeric	double	261	107	c(3.1, 517)
22	23	tnf_a_PIC	TNF-a, Stimulant: PIC	dbl	numeric	double	390	107	c(5.03, 4610)
23	24	ifn_a_CpG	IFN-a, Stimulant:CpG	dbl	numeric	double	403	106	c(3.1, 9670)
24	25	ifn_g_CpG	IFN-g, Stimulant:CpG	dbl	numeric	double	317	106	c(3.1, 1120)
25	26	il_8_CpG	IL-8, Stimulant:CpG	dbl	numeric	double	215	157	c(15599, 752957.3468)
26	27	il_10_CpG	IL-10, Stimulant:CpG	dbl	numeric	double	381	106	c(3.1, 6841.7)
27	28	il_12p40_CpG	IL-12(p40), Stimulant:CpG	dbl	numeric	double	161	107	c(3.1, 360)
28	29	tnf_a_CpG	TNF-a, Stimulant:CpG	dbl	numeric	double	350	107	c(3.58, 1260)
29	30	ifn_a_RSV	IFN-a, Stimulant: RSV	dbl	numeric	double	136	108	c(3.1, 5650)
30	31	ifn_g_RSV	IFN-g, Stimulant: RSV	dbl	numeric	double	404	108	c(3.1, 14000)
31	32	il_8_RSV	IL-8, Stimulant: RSV	dbl	numeric	double	434	156	c(15599, 1753472.555)
32	33	il_10_RSV	IL-10, Stimulant: RSV	dbl	numeric	double	390	108	c(3.1, 4750)
33	34	il_12p40_RSV	IL-12(p40), Stimulant: RSV	dbl	numeric	double	310	108	c(3.1, 466)
34	35	tnf_a_RSV	TNF-a, Stimulant: RSV	dbl	numeric	double	408	108	c(3.1, 5090)
35	36	ifn_a_RV	IFN-a, Stimulant: RV	dbl	numeric	double	350	160	c(3.1, 15800)
36	37	ifn_g_RV	IFN-g, Stimulant: RV	dbl	numeric	double	348	160	c(3.1, 948)
37	38	il_8_RV	IL-8, Stimulant: RV	dbl	numeric	double	197	196	c(15599, 521814.2775)
38	39	il_10_RV	IL-10, Stimulant: RV	dbl	numeric	double	358	160	c(3.1, 1460)
39	40	il_12p40_RV	IL-12(p40), Stimulant: RV	dbl	numeric	double	163	160	c(3.1, 491)
40	41	tnf_a_RV	TNF-a, Stimulant: RV	dbl	numeric	double	349	160	c(3.1, 1220)
41	42	D_ifn_a_LPS	Detectable IFN-a, Stimulant: LPS	dbl	numeric	double	3	110	c(0, 1)
42	43	D_ifn_g_LPS	Detectable IFN-g, Stimulant: LPS	dbl	numeric	double	3	112	c(0, 1)
43	44	D_il_8_LPS	Detectable IL-8, Stimulant: LPS	dbl	numeric	double	3	159	c(0, 1)
44	45	D_il_10_LPS	Detectable IL-10, Stimulant: LPS	dbl	numeric	double	2	109	c(1, 1)
45	46	D_il_12p40_LPS	Detectable IL-12(p40), Stimulant: LPS	dbl	numeric	double	3	110	c(0, 1)
