	pos	variable	label	col_type	class	type	unique_values	n_na	range
0	1	ID		chr	character	character	609	0	"c(""[ID Redacted]"", ""[ID Redacted]"")"
1	2	GROUP	Analysis Group	chr	character	character	2	0	"c(""Atopic"", ""Non-atopic"")"
2	3	StudyID	StudyID	chr	character	character	609	0	"c(""[ID Redacted]"", ""[ID Redacted]"")"
3	4	RecruitID	RecruitID	chr	character	character	609	0	"c(""07-01-0003-4"", ""07-08-0371-8"")"
4	5	avisit	avisit	dbl	numeric	double	7	0	c(12, 120)
5	6	year	year	dbl	numeric	double	7	0	c(1, 10)
6	7	event	event	chr	character	character	9	0	"c("""", ""Rescheduled Home Evaluation"")"
7	8	derp_b	Derp bedroom (ug/g) assay result	dbl	numeric	double	486	1720	c(4e-04, 43.89534)
8	9	derf_b	Derf bedroom (ug/g) assay result	dbl	numeric	double	1260	1552	c(2e-04, 27.0882)
9	10	feld_b	Feld bedroom (ug/g) assay result	dbl	numeric	double	1570	1555	c(2e-04, 384.525)
10	11	canf_b	Canf bedroom (ug/g) assay result	dbl	numeric	double	1088	1575	c(4e-04, 336.3196)
11	12	musm_b	Musm bedroom (ug/g) assay result	dbl	numeric	double	1902	1475	c(0, 665.878)
12	13	blag_b	Blag 1 bedroom (U/g) assay result	dbl	numeric	double	506	1885	c(0.195, 35728.4)
13	14	account_b_num	Bedroom - Account Number	chr	character	character	2309	0	"c("""", ""u1406"")"
14	15	dustwgt_b	Bedroom - Dust Weight	dbl	numeric	double	1123	1998	c(0.016, 11.608)
15	16	feld_b_uas	Bedroom - Fel d 1 - UAS	dbl	numeric	double	3	2104	c(0, 1)
16	17	canf_b_uas	Bedroom - Can f 1 - UAS	dbl	numeric	double	3	2126	c(0, 1)
17	18	derf_b_uas	Bedroom - Der f 1 - UAS	dbl	numeric	double	3	2024	c(0, 1)
18	19	derp_b_uas	Bedroom - Der p 1 - UAS	dbl	numeric	double	3	2132	c(0, 1)
19	20	musm_b_uas	Bedroom - Mus m 1 - UAS	dbl	numeric	double	3	2034	c(0, 1)
20	21	account_l_num	Living Room - Account Number	chr	character	character	1955	0	"c("""", ""t2255"")"
21	22	dustwgt_l	Living Room - Dust Weight	dbl	numeric	double	916	2443	c(0.003, 5.477)
22	23	feld_l	Feld living room (ug/g) assay result	dbl	numeric	double	1044	2589	c(0.008, 875.30374)
23	24	feld_l_uas	Living Room - Fel d 1 - UAS	dbl	numeric	double	3	2446	c(0, 1)
24	25	canf_l	Canf living room (ug/g) assay result	dbl	numeric	double	649	2603	c(0.0048, 217.87)
25	26	canf_l_uas	Living Room - Can f 1 - UAS	dbl	numeric	double	3	2450	c(0, 1)
26	27	derf_l	Derf living room (ug/g) assay result	dbl	numeric	double	716	2569	c(0.0022, 12.127)
27	28	derf_l_uas	Living Room - Der f 1 - UAS	dbl	numeric	double	3	2435	c(0, 1)
28	29	derp_l	Derp living room (ug/g) assay result	dbl	numeric	double	227	2617	c(0.015, 17.36598)
29	30	derp_l_uas	Living Room - Der p 1 - UAS	dbl	numeric	double	3	2464	c(0, 1)
30	31	musm_l	Musm living room (ug/g) assay result	dbl	numeric	double	1198	2569	c(0.0019, 357.2884)
31	32	musm_l_uas	Living Room - Mus m 1 - UAS	dbl	numeric	double	3	2436	c(0, 1)
32	33	blag_l	Blag 1 living room (U/g) assay result	dbl	numeric	double	264	2578	c(0.195, 839)
33	34	derf_b_extrabr_used	Derf - extra bedroom used	dbl	numeric	double	2	4245	c(1, 1)
34	35	derp_b_extrabr_used	Derp - extra bedroom used	dbl	numeric	double	2	4243	c(1, 1)
35	36	musm_b_extrabr_used	Musm - extra bedroom used	dbl	numeric	double	2	4246	c(1, 1)
36	37	feld_extrabr_used	Feld - extra bedroom used	dbl	numeric	double	2	4244	c(1, 1)
37	38	canf_b_extrabr_used	Canf - extra bedroom used	dbl	numeric	double	2	4246	c(1, 1)
38	39	blag_b_extrabr_used	Blag - extra bedroom used	dbl	numeric	double	2	4245	c(1, 1)
39	40	feld1_LOD_elisa	Feld LOD (ug/g) ELISA	dbl	numeric	double	5	1476	c(4, 25.6)
40	41	canf1_LOD_elisa	Canf LOD (ug/g) ELISA	dbl	numeric	double	3	1476	c(12, 39)
41	42	blag1_LOD_elisa	Blag LOD (U/g) UAS & ELISA	dbl	numeric	double	5	1487	c(0.39, 240)
42	43	derf1_LOD_elisa	Derf LOD (ug/g) ELISA	dbl	numeric	double	3	1476	c(12, 35.8)
43	44	derp1_LOD_elisa	Derp LOD (ug/g) ELISA	dbl	numeric	double	4	1476	c(12, 61)
44	45	musm1_LOD_elisa	Musm LOD (ug/g) ELISA	dbl	numeric	double	6	1476	c(2, 20)
45	46	feld1_LOD_uas	Feld LOD (ug/g) UAS	dbl	numeric	double	2	1333	c(16, 16)
46	47	canf1_LOD_uas	Canf LOD (ug/g) UAS	dbl	numeric	double	2	1333	c(10, 10)
47	48	derf1_LOD_uas	Derf LOD (ug/g) UAS	dbl	numeric	double	2	1333	c(20, 20)
