	pos	variable	label	col_type	class	type	unique_values	n_na	range
0	1	id		chr	character	character	415	0	"c(""[ID Redacted]"", ""[ID Redacted]"")"
1	2	group		chr	character	character	2	0	"c(""Atopic"", ""Non-atopic"")"
2	3	form		chr	character	character	1	0	"c(""DSLR_V2"", ""DSLR_V2"")"
3	4	avst	Visit	chr	character	character	3	0	"c(""81-month clinic visit"", ""home dust collection"")"
4	5	dslr_v2_q2	Sample Type	dbl	numeric	double	1	0	c(1, 1)
5	6	dslr_v2_q4	Seived Wt (mg)	chr	character	character	361	0	"c("""", ""NES <10mg"")"
6	7	dslr_v2_q4a	Aliquot 1 Wt (mg)	dbl	numeric	double	86	133	c(0, 64.4)
7	8	dslr_v2_q4b	Aliquot 2 Wt (mg)	dbl	numeric	double	115	140	c(0, 118.2)
8	9	dslr_v2_q4c	Aliquot 3 Wt (mg)	dbl	numeric	double	282	145	c(0, 5985.5)
9	10	dslr_v2_q4d	Sample Inadequate - all results QNS	dbl	numeric	double	2	0	c(0, 1)
10	11	dslr_v2_q6	Bla g 1 derived from JHU data (ng/g)?	dbl	numeric	double	2	0	c(0, 1)
11	12	dslr_v2_q7a	Bla g 1 Result (ng/ml)	dbl	numeric	double	143	351	c(1.96, 1193.17)
12	13	dslr_v2_q7b	Bla g 1 LLOD (ng/ml)	dbl	numeric	double	4	135	c(6, 12)
13	14	dslr_v2_q7c	Bla g 1 Result (ng/g)	dbl	numeric	double	187	292	c(20.8, 23863.4)
14	15	dslr_v2_q7d	Bla g 1 LLOD (ng/g)	dbl	numeric	double	4	135	c(120, 240)
15	16	dslr_v2_q7e	Bla g 1 < LLOD?	dbl	numeric	double	2	0	c(0, 1)
16	17	dslr_v2_q7f	Bla g 1 OOR?	dbl	numeric	double	2	0	c(0, 1)
17	18	dslr_v2_q7g	Bla g 1 QNS?	dbl	numeric	double	2	0	c(0, 1)
18	19	dslr_v2_q8c	MARIA Date	chr	character	character	39	0	"c("""", ""121613-1a"")"
19	20	dslr_v2_q9a	Der p 1 Result (ng/ml)	dbl	numeric	double	192	178	c(0.01, 1014.08)
20	21	dslr_v2_q9b	Der p 1 LLOD (ng/ml)	dbl	numeric	double	2	4	c(0.6, 0.6)
21	22	dslr_v2_q9c	Der p 1 Result (ng/g)	dbl	numeric	double	192	178	c(0.2, 20281.6)
22	23	dslr_v2_q9d	Der p 1 LLOD (ng/g)	dbl	numeric	double	2	4	c(12, 12)
23	24	dslr_v2_q9e	Der p 1 < LLOD?	dbl	numeric	double	2	0	c(0, 1)
24	25	dslr_v2_q9f	Der p 1 OOR?	dbl	numeric	double	2	0	c(0, 1)
25	26	dslr_v2_q9g	Der p 1 QNS?	dbl	numeric	double	2	0	c(0, 1)
26	27	dslr_v2_q10a	Der f 1 Result (ng/ml)	dbl	numeric	double	309	84	c(0.02, 1289.69)
27	28	dslr_v2_q10b	Der f 1 LLOD(ng/ml)	dbl	numeric	double	2	4	c(0.6, 0.6)
28	29	dslr_v2_q10c	Der f 1 Result (ng/g)	dbl	numeric	double	309	84	c(0.4, 25793.8)
29	30	dslr_v2_q10d	Der f 1 LLOD(ng/g)	dbl	numeric	double	2	4	c(12, 12)
30	31	dslr_v2_q10e	Der f 1 < LLOD?	dbl	numeric	double	2	0	c(0, 1)
31	32	dslr_v2_q10f	Der f 1 OOR?	dbl	numeric	double	2	0	c(0, 1)
32	33	dslr_v2_q10g	Der f 1QNS?	dbl	numeric	double	2	0	c(0, 1)
