	pos	variable	label	col_type	class	type	unique_values	n_na	range
0	1	ID		chr	character	character	609	0	"c(""[ID Redacted]"", ""[ID Redacted]"")"
1	2	GROUP	Analysis Group	chr	character	character	2	0	"c(""Atopic"", ""Non-atopic"")"
2	3	StudyID	StudyID	chr	character	character	609	0	"c(""[ID Redacted]"", ""[ID Redacted]"")"
3	4	RecruitID	RecruitID	chr	character	character	609	0	"c(""07-01-0003-4"", ""07-08-0371-8"")"
4	5	stimulant		chr	character	character	9	0	"c(""CpG"", ""RV"")"
5	6	avisit		dbl	numeric	double	7	0	c(0, 84)
6	7	replicate		chr	character	character	2	0	"c(""A"", ""B"")"
7	8	year		dbl	numeric	double	7	0	c(0, 7)
8	9	ifn_a_CpG	IFN-a, Stimulant:CpG	dbl	numeric	double	1909	64657	c(3.1, 16685.83)
9	10	ifn_g_CpG	IFN-g, Stimulant:CpG	dbl	numeric	double	1331	64657	c(3.1, 4560)
10	11	il_8_CpG	IL-8, Stimulant:CpG	dbl	numeric	double	590	64682	c(15599, 865000)
11	12	il_10_CpG	IL-10, Stimulant:CpG	dbl	numeric	double	1823	64657	c(3.1, 13003.65)
12	13	il_12p40_CpG	IL-12(p40), Stimulant:CpG	dbl	numeric	double	1335	64666	c(3.1, 6620)
13	14	tnf_a_CpG	TNF-a, Stimulant:CpG	dbl	numeric	double	1780	64657	c(3.1, 4399.25)
14	15	ifn_a_GDQ	IFN-a, Stimulant: GDQ	dbl	numeric	double	985	65895	c(3.1, 8250.28)
15	16	ifn_g_GDQ	IFN-g, Stimulant: GDQ	dbl	numeric	double	742	65895	c(3.1, 2404.96)
16	17	il_8_GDQ	IL-8, Stimulant: GDQ	dbl	numeric	double	479	65899	c(15599, 440442.06)
17	18	il_10_GDQ	IL-10, Stimulant: GDQ	dbl	numeric	double	1064	65895	c(3.1, 3670)
18	19	il_12p40_GDQ	IL-12(p40), Stimulant: GDQ	dbl	numeric	double	679	65895	c(3.1, 521.78)
19	20	tnf_a_GDQ	TNF-a, Stimulant: GDQ	dbl	numeric	double	1068	65895	c(6.76, 7004.45)
20	21	ifn_a_LPS	IFN-a, Stimulant: LPS	dbl	numeric	double	1131	64653	c(3.1, 6550)
21	22	ifn_g_LPS	IFN-g, Stimulant: LPS	dbl	numeric	double	1424	64653	c(3.1, 25718.96)
22	23	il_8_LPS	IL-8, Stimulant: LPS	dbl	numeric	double	1728	64680	c(15599, 1433627.72)
23	24	il_10_LPS	IL-10, Stimulant: LPS	dbl	numeric	double	1902	64653	c(3.1, 19194.47)
24	25	il_12p40_LPS	IL-12(p40), Stimulant: LPS	dbl	numeric	double	1643	64665	c(3.1, 12100)
25	26	tnf_a_LPS	TNF-a, Stimulant: LPS	dbl	numeric	double	1912	64653	c(6.8, 31600)
26	27	ifn_a_MC24	IFN-a, Stimulant: MC24	dbl	numeric	double	393	65164	c(3.1, 664.64)
27	28	ifn_g_MC24	IFN-g, Stimulant: MC24	dbl	numeric	double	457	65164	c(3.1, 1060)
28	29	il_8_MC24	IL-8, Stimulant: MC24	dbl	numeric	double	392	65157	c(15599, 655000)
29	30	il_10_MC24	IL-10, Stimulant: MC24	dbl	numeric	double	839	65164	c(3.1, 4010)
30	31	il_12p40_MC24	IL-12(p40), Stimulant: MC24	dbl	numeric	double	546	65173	c(3.1, 3370)
31	32	tnf_a_MC24	TNF-a, Stimulant: MC24	dbl	numeric	double	1113	65164	c(3.1, 3380)
32	33	ifn_a_MC5	IFN-a, Stimulant: MC5	dbl	numeric	double	38	66399	c(8.1, 67.1)
33	34	ifn_g_MC5	IFN-g, Stimulant: MC5	dbl	numeric	double	116	66399	c(6.8, 4580)
34	35	il_8_MC5	IL-8, Stimulant: MC5	dbl	numeric	double	136	66429	c(15599, 765000)
35	36	il_10_MC5	IL-10, Stimulant: MC5	dbl	numeric	double	40	66399	c(6.8, 60.3)
36	37	il_12p40_MC5	IL-12(p40), Stimulant: MC5	dbl	numeric	double	221	66408	c(10.9, 4060)
37	38	tnf_a_MC5	TNF-a, Stimulant: MC5	dbl	numeric	double	50	66399	c(6.8, 919)
38	39	ifn_a_PG	IFN-a, Stimulant: PG	dbl	numeric	double	768	64648	c(3.1, 482.95)
39	40	ifn_g_PG	IFN-g, Stimulant: PG	dbl	numeric	double	1361	64648	c(3.1, 11500)
40	41	il_8_PG	IL-8, Stimulant: PG	dbl	numeric	double	1732	64681	c(15599, 1220000)
41	42	il_10_PG	IL-10, Stimulant: PG	dbl	numeric	double	1867	64648	c(3.1, 14135.7)
42	43	il_12p40_PG	IL-12(p40), Stimulant: PG	dbl	numeric	double	1865	64661	c(3.1, 33400)
43	44	tnf_a_PG	TNF-a, Stimulant: PG	dbl	numeric	double	1829	64648	c(3.1, 35300)
44	45	ifn_a_PIC	IFN-a, Stimulant: PIC	dbl	numeric	double	1802	64643	c(3.1, 3470)
45	46	ifn_g_PIC	IFN-g, Stimulant: PIC	dbl	numeric	double	1797	64643	c(3.1, 15170)
