	pos	variable	label	col_type	class	type	unique_values	n_na	range
0	1	id		chr	character	character	495	0	"c(""[ID Redacted]"", ""[ID Redacted]"")"
1	2	group		chr	character	character	2	0	"c(""Atopic"", ""Non-atopic"")"
2	3	form		chr	character	character	1	0	"c(""MRNA"", ""MRNA"")"
3	4	version	version	chr	character	character	1	0	"c(""1.0"", ""1.0"")"
4	5	status	status	chr	character	character	2	0	"c(""complete"", ""incomplete"")"
5	6	SampleID	SampleID	chr	character	character	496	0	"c(""1073734"", ""894211"")"
6	7	aVisit	Visit	chr	character	character	7	0	"c(""12"", ""mblood"")"
7	8	MRNA_q1a	A-1 Assay - Method	chr	character	character	2	0	"c(""new"", ""old"")"
8	9	MRNA_q1b1	A-1 Assay - Stimulant MC48 - Volume (mL) Extracted	dbl	numeric	double	20	12	c(0.435, 1.05)
9	10	MRNA_q1b2	A-1 Assay - Stimulant MC48 - Volume (ul) Remaining	dbl	numeric	double	13	12	c(0, 450)
10	11	MRNA_q1b3	A-1 Assay - Stimulant MC48 - UBE2D2 ct	dbl	numeric	double	242	4	c(24.38, 32.3)
11	12	MRNA_q1b4	A-1 Assay - Stimulant MC48 - UBE2D2 qty	dbl	numeric	double	493	4	c(89.2, 32329.2)
12	13	MRNA_q1b5	A-1 Assay - Stimulant MC48 - IFNg ct	dbl	numeric	double	329	4	c(26.37, 39.5)
13	14	MRNA_q1b6	A-1 Assay - Stimulant MC48 - IFNg qty	dbl	numeric	double	416	4	c(0.7, 4062.1)
14	15	MRNA_q1b7	A-1 Assay - Stimulant MC48 - IL-13 ct	dbl	numeric	double	333	45	c(26.96, 39.57)
15	16	MRNA_q1b8	A-1 Assay - Stimulant MC48 - IL-13 qty	dbl	numeric	double	230	45	c(0.7, 2721.3)
16	17	MRNA_q1b9	A-1 Assay - Stimulant MC48 - IFNg/UBE	dbl	numeric	double	55	4	c(0.001, 0.729)
17	18	MRNA_q1b10	A-1 Assay - Stimulant MC48 - IL13/UBE	dbl	numeric	double	33	45	c(0, 0.138)
18	19	MRNA_q1c1	A-1 Assay - Stimulant CR- Volume (mL) Extracted	dbl	numeric	double	20	14	c(0.425, 0.985)
19	20	MRNA_q1c2	A-1 Assay - Stimulant CR- Volume (ul) Remaining	dbl	numeric	double	15	14	c(0, 450)
20	21	MRNA_q1c3	A-1 Assay - Stimulant CR- UBE2D2 ct	dbl	numeric	double	235	4	c(24.39, 31.71)
21	22	MRNA_q1c4	A-1 Assay - Stimulant CR- UBE2D2 qty	dbl	numeric	double	490	4	c(132.8, 30605.9)
22	23	MRNA_q1c5	A-1 Assay - Stimulant CR- IFNg ct	dbl	numeric	double	351	4	c(26, 39.63)
23	24	MRNA_q1c6	A-1 Assay - Stimulant CR- IFNg qty	dbl	numeric	double	463	4	c(0.6, 5854.1)
24	25	MRNA_q1c7	A-1 Assay - Stimulant CR- IL-13 ct	dbl	numeric	double	382	14	c(25.52, 39.58)
25	26	MRNA_q1c8	A-1 Assay - Stimulant CR- IL-13 qty	dbl	numeric	double	443	14	c(0.8, 7008.5)
