	pos	variable	label	col_type	class	type	unique_values	n_na	range
0	1	id		chr	character	character	608	0	"c("""", ""[ID Redacted]"")"
1	2	group		chr	character	character	3	0	"c("""", ""Non-atopic"")"
2	3	form		chr	character	character	1	0	"c(""CSLRA"", ""CSLRA"")"
3	4	version	version	chr	character	character	1	0	"c(""1.0"", ""1.0"")"
4	5	status	status	chr	character	character	1	0	"c(""expected"", ""expected"")"
5	6	SampleID	SampleID	chr	character	character	609	0	"c(""100210"", ""99981"")"
6	7	aVisit	Visit	chr	character	character	1	0	"c(""b"", ""b"")"
7	8	CSLRA_q1a	Record Plate Number for A-1 Assay	chr	character	character	61	0	"c(""100"", ""99b"")"
8	9	CSLRA_q1b1	A-1 Assay - Stimulant MC24 - Cytokine IL-4	dbl	numeric	double	58	539	c(1, 8.98)
9	10	CSLRA_q1b2	A-1 Assay - Stimulant MC24 - Cytokine IL-5	dbl	numeric	double	1	609	
10	11	CSLRA_q1b3	A-1 Assay - Stimulant MC24 - Cytokine IL-9	dbl	numeric	double	1	609	
11	12	CSLRA_q1b4	A-1 Assay - Stimulant MC24 - Cytokine IL-10	dbl	numeric	double	130	462	c(1, 73.3)
12	13	CSLRA_q1b5	A-1 Assay - Stimulant MC24 - Cytokine IL-13	dbl	numeric	double	95	465	c(1, 23.3)
13	14	CSLRA_q1b6	A-1 Assay - Stimulant MC24 - Cytokine IFN-g	dbl	numeric	double	205	390	c(0.02, 1130)
14	15	CSLRA_q1b7	A-1 Assay - Stimulant MC24 - Cytokine VEGF	dbl	numeric	double	41	568	c(15.86, 4143)
15	16	CSLRA_q1c1	A-1 Assay - Stimulant PHA - Cytokine IL-4	dbl	numeric	double	472	69	c(1.28, 1080)
16	17	CSLRA_q1c2	A-1 Assay - Stimulant PHA - Cytokine IL-5	dbl	numeric	double	1	609	
17	18	CSLRA_q1c3	A-1 Assay - Stimulant PHA - Cytokine IL-9	dbl	numeric	double	1	609	
18	19	CSLRA_q1c4	A-1 Assay - Stimulant PHA - Cytokine IL-10	dbl	numeric	double	528	12	c(1.06, 5200)
19	20	CSLRA_q1c5	A-1 Assay - Stimulant PHA - Cytokine IL-13	dbl	numeric	double	532	9	c(2.03, 5080)
20	21	CSLRA_q1c6	A-1 Assay - Stimulant PHA - Cytokine IFN-g	dbl	numeric	double	560	11	c(2.84, 44400)
21	22	CSLRA_q1c7	A-1 Assay - Stimulant PHA - Cytokine VEGF	dbl	numeric	double	13	597	c(10.52, 114)
22	23	CSLRA_q1d1	A-1 Assay - Stimulant CR- Cytokine IL-4	dbl	numeric	double	54	548	c(1, 8.44)
23	24	CSLRA_q1d2	A-1 Assay - Stimulant CR- Cytokine IL-5	dbl	numeric	double	1	609	
24	25	CSLRA_q1d3	A-1 Assay - Stimulant CR- Cytokine IL-9	dbl	numeric	double	1	609	
25	26	CSLRA_q1d4	A-1 Assay - Stimulant CR- Cytokine IL-10	dbl	numeric	double	169	407	c(1, 236)
26	27	CSLRA_q1d5	A-1 Assay - Stimulant CR- Cytokine IL-13	dbl	numeric	double	201	368	c(1.01, 478)
27	28	CSLRA_q1d6	A-1 Assay - Stimulant CR- Cytokine IFN-g	dbl	numeric	double	195	400	c(0.47, 14100)
28	29	CSLRA_q1d7	A-1 Assay - Stimulant CR- Cytokine VEGF	dbl	numeric	double	1	609	
29	30	CSLRA_q1e1	A-1 Assay - Stimulant MC5- Cytokine IL-4	dbl	numeric	double	52	550	c(1, 9.49)
30	31	CSLRA_q1e2	A-1 Assay - Stimulant MC5- Cytokine IL-5	dbl	numeric	double	1	609	
31	32	CSLRA_q1e3	A-1 Assay - Stimulant MC5- Cytokine IL-9	dbl	numeric	double	1	609	
32	33	CSLRA_q1e4	A-1 Assay - Stimulant MC5- Cytokine IL-10	dbl	numeric	double	174	415	c(1, 63.3)
33	34	CSLRA_q1e5	A-1 Assay - Stimulant MC5- Cytokine IL-13	dbl	numeric	double	181	385	c(1.01, 1000)
34	35	CSLRA_q1e6	A-1 Assay - Stimulant MC5- Cytokine IFN-g	dbl	numeric	double	212	375	c(0.41, 6260)
35	36	CSLRA_q1e7	A-1 Assay - Stimulant MC5- Cytokine VEGF	dbl	numeric	double	35	575	c(4.16, 3065.24)
36	37	CSLRA_q1f1	A-1 Assay - Stimulant DM - Cytokine IL-4	dbl	numeric	double	47	555	c(1.03, 7.31)
37	38	CSLRA_q1f2	A-1 Assay - Stimulant DM - Cytokine IL-5	dbl	numeric	double	3	607	c(20.57, 62.29)
38	39	CSLRA_q1f3	A-1 Assay - Stimulant DM - Cytokine IL-9	dbl	numeric	double	3	607	c(14.86, 40.2)
39	40	CSLRA_q1f4	A-1 Assay - Stimulant DM - Cytokine IL-10	dbl	numeric	double	309	251	c(1.02, 232)
40	41	CSLRA_q1f5	A-1 Assay - Stimulant DM - Cytokine IL-13	dbl	numeric	double	358	219	c(1, 1411.11)
41	42	CSLRA_q1f6	A-1 Assay - Stimulant DM - Cytokine IFN-g	dbl	numeric	double	291	290	c(0.47, 14400)
