	pos	variable	label	col_type	class	type	unique_values	n_na	range
0	1	id		chr	character	character	145	0	"c("""", ""[ID Redacted]"")"
1	2	group		chr	character	character	3	0	"c("""", ""Non-atopic"")"
2	3	form		chr	character	character	1	0	"c(""TRP"", ""TRP"")"
3	4	version	version	chr	character	character	2	0	"c(""1.0"", ""1.4"")"
4	5	status	status	chr	character	character	4	0	"c(""complete"", ""unresolved"")"
5	6	SampleID	SampleID	chr	character	character	410	0	"c(""105408"", ""96918"")"
6	7	aTI	Processing Tech Initials	chr	character	character	11	0	"c("".m"", ""tmd"")"
7	8	aVisit	Visit	chr	character	character	5	0	"c(""12"", ""b"")"
8	9	TRP_q1b	Time Sample Collected	time	"c(""hms"", ""difftime"")"	double	175	44	c(0, 84600)
9	10	TRP_q2b	Time Sample Started Processing	chr	character	character	96	0	"c("".m"", ""12:57pm"")"
10	11	TRP_q3b	Time Sample Received By Harvard Lab	time	"c(""hms"", ""difftime"")"	double	132	44	c(32280, 85500)
11	12	TRP_q4b	Time Proliferation Assay was Conducted	time	"c(""hms"", ""difftime"")"	double	128	45	c(3000, 81240)
12	13	TRP_q4_1	Number of Cells Used for Proliferation Assay	dbl	numeric	double	120	52	c(0, 19.4)
13	14	TRP_q4c1b	Day Three - Undepleted Media	dbl	numeric	double	61	349	c(94, 4679)
14	15	TRP_q4c2b	Day Three - Depleted Media	dbl	numeric	double	59	349	c(48, 3823)
15	16	TRP_q4c3b	Day Three - Undepleted PHA	dbl	numeric	double	61	349	c(6983, 291960)
16	17	TRP_q4c4b	Day Three - Depleted PHA	dbl	numeric	double	61	349	c(3697, 284428)
17	18	TRP_q4d1b	Day Four - Undepleted Media	dbl	numeric	double	264	90	c(24, 327686)
18	19	TRP_q4d2b	Day Four - Depleted Media	dbl	numeric	double	247	90	c(14, 352631)
19	20	TRP_q4d3b	Day Four - Undepleted PHA	dbl	numeric	double	321	90	c(65, 436527)
20	21	TRP_q4d4b	Day Four - Depleted PHA	dbl	numeric	double	320	90	c(19, 400656)
21	22	TRP_q4e1b	Day Five - Undepleted Media	dbl	numeric	double	57	353	c(64, 4082)
22	23	TRP_q4e2b	Day Five - Depleted Media	dbl	numeric	double	58	353	c(75, 2892)
23	24	TRP_q4e3b	Day Five - Undepleted PHA	dbl	numeric	double	58	353	c(695, 172913)
24	25	TRP_q4e4b	Day Five - Depleted PHA	dbl	numeric	double	57	353	c(901, 138426)
25	26	TRP_q5b	Time mRNA was Isolated	time	"c(""hms"", ""difftime"")"	double	124	51	c(3000, 70200)
26	27	TRP_q5_1	Number of Cells Used for mRNA Isolation	dbl	numeric	double	7	52	c(0, 10)
27	28	TRP_q5c1	CD45 Lymphogate - %CD3CD4CD25	dbl	numeric	double	121	46	c(0.1, 47.8)
28	29	TRP_q5c2	CD45 Lymphogate - %CD3CD4CD25 Bright	dbl	numeric	double	55	46	c(0, 7.5)
