	pos	variable	label	col_type	class	type	unique_values	n_na	range
0	1	ID		chr	character	character	609	0	"c(""[ID Redacted]"", ""[ID Redacted]"")"
1	2	GROUP	Analysis Group	chr	character	character	2	0	"c(""Atopic"", ""Non-atopic"")"
2	3	StudyID	StudyID	chr	character	character	609	0	"c(""[ID Redacted]"", ""[ID Redacted]"")"
3	4	event	event	chr	character	character	7	0	"c("""", ""84-Month Clinic Visit"")"
4	5	PBPCB_q17	Plasma Aliquot Prepared for RAST Analysis	dbl	numeric	double	3	1462	c(0, 1)
5	6	avisit		dbl	numeric	double	6	0	c(12, 120)
6	7	version	version	chr	character	character	5	0	"c("""", ""1.5"")"
7	8	status	status	chr	character	character	3	0	"c("""", ""incomplete"")"
8	9	SampleID	SampleID	chr	character	character	2551	0	"c("""", ""999988"")"
9	10	aStudyID	Study ID	chr	character	character	518	0	"c("""", ""[ID Redacted]"")"
10	11	CRR_q1_1	RAST Sample Processed	dbl	numeric	double	3	1104	c(0, 1)
11	12	peanut_ige	sIge to Peanut (kUa/L)	dbl	numeric	double	426	1488	c(0.09, 124.780041)
12	13	egg_ige	sIge to Egg (kUa/L)	dbl	numeric	double	673	1490	c(0.09, 100)
13	14	milk_ige	sIge to Milk (kUa/L)	dbl	numeric	double	925	1491	c(0.09, 32.88794)
14	15	roach_ige	sIge to Cockroach (kUa/L)	dbl	numeric	double	458	1115	c(0.09, 107.3270582)
15	16	total_ige	Total Ige (kUa/L)	dbl	numeric	double	1851	1111	c(0.09, 7511.862218)
16	17	derp_ige	sIge to Der p mite (kUa/L)	dbl	numeric	double	491	1419	c(0.09, 503.1799915)
17	18	derf_ige	sIge to Der f mite (kUa/L)	dbl	numeric	double	445	1419	c(0.09, 453.2517679)
18	19	cat_ige	sIge to Cat (kUa/L)	dbl	numeric	double	401	1425	c(0.09, 184.5477847)
19	20	dog_ige	sIge to Dog (kUa/L)	dbl	numeric	double	456	1422	c(0.09, 360.991334)
20	21	mouse_ige	sIge to Mouse (kUa/L)	dbl	numeric	double	261	1423	c(0.09, 436)
21	22	alt_ige	sIge to Alternaria (kUa/L)	dbl	numeric	double	367	1423	c(0.09, 134.1506175)
22	23	asp_ige	sIge to Aspergillus fumigatus (kUa/L)	dbl	numeric	double	60	3275	c(0.09, 19.7)
23	24	rag_ige	sIge to Ragweed (kUa/L)	dbl	numeric	double	100	3274	c(0.09, 49.2)
24	25	maple_ige	sIge to Maple box elder (kUa/L)	dbl	numeric	double	129	3274	c(0.09, 61.3)
25	26	oak_ige	sIge to Oak (kUa/L)	dbl	numeric	double	127	3275	c(0.09, 100)
26	27	timg_ige	sIge to Timothy grass (kUa/L)	dbl	numeric	double	107	3274	c(0.09, 100)
27	28	peanut_pos	sIgE >= 0.35 kUa/L to Peanut	dbl	numeric	double	3	1488	c(0, 1)
28	29	egg_pos	sIgE >= 0.35 kUa/L to Egg	dbl	numeric	double	3	1490	c(0, 1)
29	30	milk_pos	sIgE >= 0.35 kUa/L to Milk	dbl	numeric	double	3	1491	c(0, 1)
30	31	roach_pos	sIgE >= 0.35 kUa/L to Cockroach	dbl	numeric	double	3	1115	c(0, 1)
31	32	derp_pos	sIgE >= 0.35 kUa/L to Der p	dbl	numeric	double	3	1419	c(0, 1)
32	33	derf_pos	sIgE >= 0.35 kUa/L to Der f	dbl	numeric	double	3	1419	c(0, 1)
33	34	cat_pos	sIgE >= 0.35 kUa/L to Cat	dbl	numeric	double	3	1425	c(0, 1)
34	35	dog_pos	sIgE >= 0.35 kUa/L to Dog	dbl	numeric	double	3	1422	c(0, 1)
35	36	mouse_pos	sIgE >= 0.35 kUa/L to Mouse	dbl	numeric	double	3	1423	c(0, 1)
36	37	alt_pos	sIgE >= 0.35 kUa/L to Alterneria	dbl	numeric	double	3	1423	c(0, 1)
37	38	asp_pos	sIgE >= 0.35 kUa/L to Aspergillus fumigatus	dbl	numeric	double	3	3275	c(0, 1)
38	39	rag_pos	sIgE >= 0.35 kUa/L to Ragweed	dbl	numeric	double	3	3274	c(0, 1)
39	40	maple_pos	sIgE >= 0.35 kUa/L to Maple box elder	dbl	numeric	double	3	3274	c(0, 1)
40	41	oak_pos	sIgE >= 0.35 kUa/L to Oak	dbl	numeric	double	3	3275	c(0, 1)
41	42	timg_pos	sIgE >= 0.35 kUa/L to Timothy grass	dbl	numeric	double	3	3274	c(0, 1)
42	43	roach_pos_2	sIgE >= 0.10 kUa/L to Cockroach	dbl	numeric	double	3	1115	c(0, 1)
43	44	derp_pos_2	sIgE >= 0.10 kUa/L to Der p	dbl	numeric	double	3	1419	c(0, 1)
44	45	derf_pos_2	sIgE >= 0.10 kUa/L to Der f	dbl	numeric	double	3	1419	c(0, 1)
45	46	cat_pos_2	sIgE >= 0.10 kUa/L to Cat	dbl	numeric	double	3	1425	c(0, 1)
46	47	dog_pos_2	sIgE >= 0.10 kUa/L to Dog	dbl	numeric	double	3	1422	c(0, 1)
