	pos	variable	label	col_type	class	type	unique_values	n_na	range
0	1	id		chr	character	character	506	0	"c(""[ID Redacted]"", ""[ID Redacted]"")"
1	2	group		chr	character	character	2	0	"c(""Atopic"", ""Non-atopic"")"
2	3	form		chr	character	character	1	0	"c(""MCRI"", ""MCRI"")"
3	4	version	version	chr	character	character	1	0	"c(""1.0"", ""1.0"")"
4	5	status	status	chr	character	character	1	0	"c(""incomplete"", ""incomplete"")"
5	6	SampleID	SampleID	chr	character	character	506	0	"c(""1041879"", ""937296"")"
6	7	aVisit	Visit	dbl	numeric	double	1	506	
7	8	MCRI_q1a	Replicate A - Plate	dbl	numeric	double	1	506	
8	9	MCRI_q1b1	Replicate A - LPS IFN-a(pg/ml)	dbl	numeric	double	183	159	c(1.07, 3370)
9	10	MCRI_q1b2	Replicate A - LPS IFN-g (pg/ml)	dbl	numeric	double	385	64	c(0.73, 23900)
10	11	MCRI_q1b3	Replicate A - LPS IL-10 (pg/ml)	dbl	numeric	double	361	48	c(13.3, 17425.04)
11	12	MCRI_q1b4	Replicate A - LPS IL-12 (p40) (pg/ml)	dbl	numeric	double	314	126	c(2.37, 678)
12	13	MCRI_q1b5	Replicate A - LPS TNF-a (pg/ml)	dbl	numeric	double	356	49	c(39.41, 17300)
13	14	MCRI_q1c1	Replicate A - PG IFN-a(pg/ml)	dbl	numeric	double	54	372	c(1.07, 96.24)
14	15	MCRI_q1c2	Replicate A - PG IFN-g (pg/ml)	dbl	numeric	double	394	65	c(0.45, 27300)
15	16	MCRI_q1c3	Replicate A - PG IL-10 (pg/ml)	dbl	numeric	double	330	45	c(9.93, 9956.89)
16	17	MCRI_q1c4	Replicate A - PG IL-12 (p40) (pg/ml)	dbl	numeric	double	343	61	c(3.4, 1150)
17	18	MCRI_q1c5	Replicate A - PG TNF-a (pg/ml)	dbl	numeric	double	359	44	c(32.75, 14400)
18	19	MCRI_q1d1	Replicate A - PIC IFN-a(pg/ml)	dbl	numeric	double	348	49	c(1.07, 3400)
19	20	MCRI_q1d2	Replicate A - PIC IFN-g (pg/ml)	dbl	numeric	double	402	48	c(1.02, 21900)
20	21	MCRI_q1d3	Replicate A - PIC IL-10 (pg/ml)	dbl	numeric	double	372	49	c(1.7, 3040)
21	22	MCRI_q1d4	Replicate A - PIC IL-12 (p40) (pg/ml)	dbl	numeric	double	246	226	c(1.19, 517)
22	23	MCRI_q1d5	Replicate A - PIC TNF-a (pg/ml)	dbl	numeric	double	367	44	c(5.03, 4610)
23	24	MCRI_q1e1	Replicate A - CpG IFN-a (pg/ml)	dbl	numeric	double	371	46	c(1.07, 9670)
24	25	MCRI_q1e2	Replicate A - CpG IFN-g (pg/ml)	dbl	numeric	double	328	69	c(1.02, 1120)
25	26	MCRI_q1e3	Replicate A - CpG IL-10 (pg/ml)	dbl	numeric	double	355	46	c(4.91, 6841.7)
26	27	MCRI_q1e4	Replicate A - CpG IL-12 (p40) (pg/ml)	dbl	numeric	double	152	335	c(1.3, 360)
27	28	MCRI_q1e5	Replicate A - CpG TNF-a (pg/ml)	dbl	numeric	double	332	46	c(3.58, 1260)
28	29	MCRI_q1f1	Replicate A - RSV IFN-a(pg/ml)	dbl	numeric	double	162	261	c(1.07, 5650)
29	30	MCRI_q1f2	Replicate A - RSV IFN-g (pg/ml)	dbl	numeric	double	391	65	c(0.45, 14000)
30	31	MCRI_q1f3	Replicate A - RSV IL-10 (pg/ml)	dbl	numeric	double	365	51	c(1.21, 1300)
31	32	MCRI_q1f4	Replicate A - RSV IL-12 (p40) (pg/ml)	dbl	numeric	double	306	139	c(0.21, 466)
32	33	MCRI_q1f5	Replicate A - RSV TNF-a (pg/ml)	dbl	numeric	double	381	47	c(1.43, 5090)
33	34	MCRI_q1g1	Replicate A - RV IFN-a (pg/ml)	dbl	numeric	double	338	99	c(1.79, 15800)
34	35	MCRI_q1g2	Replicate A - RV IFN-g (pg/ml)	dbl	numeric	double	343	90	c(0.45, 948)
35	36	MCRI_q1g3	Replicate A - RV IL-10 (pg/ml)	dbl	numeric	double	345	87	c(2.34, 1460)
36	37	MCRI_q1g4	Replicate A - RV IL-12 (p40) (pg/ml)	dbl	numeric	double	168	307	c(0.21, 491)
37	38	MCRI_q1g5	Replicate A - RV TNF-a (pg/ml)	dbl	numeric	double	335	80	c(2.42, 1220)
38	39	MCRI_q1h1	Replicate A - MAB IFN-a (pg/ml)	dbl	numeric	double	1	506	
39	40	MCRI_q1h2	Replicate A - MAB IFN-g (pg/ml)	dbl	numeric	double	1	506	
40	41	MCRI_q1h3	Replicate A - MAB IL-10 (pg/ml)	dbl	numeric	double	1	506	
41	42	MCRI_q1h4	Replicate A - MAB IL-12 (p40) (pg/ml)	dbl	numeric	double	1	506	
